Name,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
MnCoFe,178.6553317,0.9613,0.97971,0.96911,-0.87971,0.55887,3.6259,2.6556,3.5735,0.34447,0.0569,-3.6731,-3.06483,-3.66762,-3.52951,-2.21221,2.115676,0.963775,0.963775,1.896041826,2.252504919,1.84288252,79.07155425,130.4766759,99.50678793,-34.77042228,7,9,8
MnCoMn,156.291321,0.95766,0.98813,1.10229,-0.9254,0.56215,3.6374,2.6702,4.66563,0.25683,0.0849,-3.26417,-2.83614,-2.77929,-3.07192,-1.91941,1.918559,1.269614,1.269614,1.877060044,2.209863074,1.915285265,80.57616814,133.0441563,104.0428956,-33.06740621,7,9,7
MnCoNi,160.3372168,0.92453,0.77489,0.98559,-0.83,0.53808,3.5983,1.0879,1.5728,0.1953,0.0572,-3.3253,-1.85288,-3.04926,-3.84849,-1.74266,1.682645,1.015468,1.015468,1.956569251,1.925905236,1.852438235,81.34552316,123.7913992,118.3473666,-42.52497243,7,9,10
MnCoZn,160.9122013,0.95793,0.98898,1.17684,-0.97031,0.55101,3.5961,2.6596,0.0109,0.15522,0.0479,-3.2619,-2.80006,-6.68404,-3.02906,-1.86284,2.109758,1.375399,1.375399,1.877030078,2.210426695,1.863483315,80.00147323,127.2563058,101.6142714,-36.97745728,7,9,12
MnCuCo,170.7814566,0.94317,0.90498,0.98647,-0.85382,0.57536,3.6036,0.5453,2.6111,0.40794,0.1088,-3.02255,-2.56706,-2.8563,-3.24394,-1.73089,2.186527,0.908562,0.908562,1.967238107,2.030249992,1.843474388,83.32418201,117.6457043,102.603169,-44.35333367,7,11,9
MnCuFe,172.7978407,0.94754,0.92137,1.0445,-0.89272,0.57064,3.6231,0.55,3.6677,0.3645,0.0844,-3.31768,-2.88821,-3.85773,-3.65535,-1.98309,2.128475,0.247549,0.247549,1.964746961,2.013439083,1.850858082,84.92645308,123.2047744,108.9629664,-40.40050366,7,11,8
MnCuMn,159.5705707,0.9378,0.93882,1.11933,-0.89988,0.56346,3.6271,-0.5074,4.63372,-0.02661,0.0846,-2.92382,-2.73424,-2.66387,-3.20757,-1.61261,0.819071,2.203373,0.819071,1.926936859,1.988010691,1.925024452,86.03379909,123.8407399,110.6438581,-39.04277602,7,11,7
MnCuZn,162.9233345,0.95086,0.94809,1.18641,-0.95085,0.54418,3.6086,-0.5413,0.0108,-0.11553,0.045,-2.93975,-2.89948,-6.37907,-3.07325,-1.47194,0.814215,2.845883,0.814215,1.92666998,1.998182544,1.892971756,85.2129029,120.9949677,104.9145111,-41.22557611,7,11,12
MnFeCo,172.3541312,0.91767,1.05065,0.97429,-0.89293,0.6001,3.5287,3.7413,2.6104,0.30853,0.0585,-3.63529,-3.77565,-3.42362,-3.96752,-2.31807,1.912717,0.833553,0.833553,1.932049442,2.046304682,1.858388127,82.85732392,115.827283,96.8491385,-44.31918029,7,8,9
MnFeNi,174.7643404,1.00149,1.09008,0.78228,-0.86998,0.64225,3.6268,3.8573,1.2527,0.3819,0.1035,-3.25196,-4.16848,-1.73261,-3.26575,-1.40693,2.015603,1.339705,1.339705,1.893563556,1.968851177,1.92967594,94.07114079,127.0630707,83.35706281,-33.09729985,7,8,10
MnFeZn,174.7774679,0.94415,1.07404,1.20282,-0.99915,0.5996,3.5579,3.7366,0.0161,0.15716,0.0471,-3.67006,-3.73262,-7.06785,-3.90262,-2.15899,1.922343,1.456554,1.456554,1.926824369,2.008497765,1.879362813,84.6134651,121.7660463,105.5819811,-40.99428852,7,8,12
MnMnCo,157.7353461,0.96403,1.10451,0.97457,-0.90711,0.56882,3.6515,4.70844,2.5958,0.31083,0.0878,-3.27261,-2.43557,-2.94688,-3.23745,-1.91822,1.712031,1.631564,1.631564,1.902608142,2.227868321,1.855166784,83.53614407,126.7301488,105.7112985,-36.70693147,7,7,9
MnMnCu,162.0989274,0.77088,0.86149,0.77547,-0.69423,0.59531,2.9971,3.4192,-0.2729,-0.24541,0.0023,-3.5594,-3.73229,-2.73778,-4.51057,-2.2254,0.408287,1.324389,0.408287,1.858115243,1.949029026,1.998913129,83.52797878,110.2064899,93.07840066,-46.18286461,7,7,11
MnMnFe,183.596523,0.9773,1.08675,0.98038,-0.91066,0.55343,3.6739,4.69509,3.595,0.32352,0.0657,-3.54597,-2.65235,-3.62849,-3.5068,-1.99748,1.739551,1.68452,1.68452,1.917709043,2.227833736,1.850313772,83.42033385,130.6400056,104.8753041,-34.18230476,7,7,8
MnMnMn,155.4905434,0.97072,1.09931,1.1056,-0.95334,0.55932,3.6835,4.71652,4.68798,0.23837,0.0927,-3.34046,-2.51006,-2.90646,-3.20254,-1.94725,1.618589,1.865709,1.618589,1.89838427,2.207868876,1.924291934,84.21940771,130.8769393,108.0649102,-33.53127541,7,7,7
MnMnNi,151.4814046,0.9599,1.11652,0.87368,-0.83407,0.55526,3.6369,4.53097,-1.4141,-0.18062,0.0627,-3.28911,-2.6885,-2.30977,-3.58397,-1.58034,0.837501,2.690337,0.837501,1.907360014,2.085391619,1.867731954,86.34057686,129.9031804,110.883331,-33.90797424,7,7,10
MnMnZn,156.4409745,0.97392,1.10767,1.17859,-0.99996,0.5437,3.6515,4.70703,0.0243,0.13499,0.0515,-3.28292,-2.43991,-6.75725,-3.17246,-1.77788,1.691333,2.779181,1.691333,1.901541232,2.184216664,1.869030239,84.6857536,126.817751,106.9612223,-36.41174946,7,7,12
MnNiCo,162.4061109,0.95061,0.9935,0.96795,-0.89447,0.56116,3.6243,1.6631,2.5815,0.32277,0.0878,-3.21742,-2.58203,-2.78904,-3.20527,-1.91701,2.086116,1.606887,1.606887,1.920590615,2.076302114,1.866324388,81.46174112,124.2184962,107.0823497,-40.35058031,7,10,9
MnNiFe,179.5847587,0.96073,0.93352,0.86515,-0.82702,0.55053,3.6388,0.0245,2.0126,0.06665,0.0118,-3.67809,-2.43552,-2.41462,-3.90495,-2.10822,0.970432,1.118972,0.970432,1.928984354,2.072718405,1.858884409,82.14451351,128.1168764,109.2384073,-37.52028423,7,10,8
MnNiMn,168.2058409,0.96133,0.99862,1.10767,-0.94083,0.54589,3.6532,1.6738,4.67993,0.24383,0.0841,-3.12807,-2.56313,-2.62142,-3.08536,-1.70633,1.876257,1.876212,1.876212,1.91152033,2.073763523,1.922174713,82.13844137,129.6867994,108.1120282,-36.06561009,7,10,7
MnNiNi,159.7333517,0.94665,0.99656,0.98489,-0.90397,0.54607,3.6185,1.6603,1.6147,0.32095,0.0611,-2.90389,-2.28355,-2.63229,-3.04912,-1.35342,2.147515,1.609785,1.609785,1.939874955,2.059429827,1.839112646,81.51247031,127.140763,115.4117362,-38.86257465,7,10,10
MnNiZn,162.2590829,0.96465,0.99669,1.17662,-0.98387,0.52588,3.6205,1.6649,0.0115,0.1652,0.0433,-2.91853,-2.32155,-6.15523,-2.84403,-1.44844,2.14414,2.179603,2.14414,1.914448691,2.06817228,1.86843987,81.91662939,125.9607654,105.9906925,-38.83932255,7,10,12
MnZnFe,187.9180964,1.02469,1.18821,0.99357,-0.96684,0.59743,3.6717,0.0232,3.5814,0.25686,0.0483,-3.74932,-6.25233,-3.65664,-3.81555,-2.10012,2.160931,1.344456,1.344456,1.917279074,2.037319675,1.86737577,89.60906503,129.1209233,105.1465481,-33.54184397,7,12,8
MnZnMn,156.6930225,0.96535,1.21576,1.11512,-0.98129,0.56315,3.6611,0.0328,4.67146,0.19107,0.0756,-3.05657,-5.85343,-2.60686,-2.90377,-1.60348,1.959787,1.911613,1.911613,1.895108211,2.135260533,1.925961049,82.47092274,131.8645689,109.0135376,-33.90639523,7,12,7
MnZnNi,142.9774094,0.94387,1.22345,0.99713,-0.94649,0.56033,3.6201,0.0239,1.6213,0.2521,0.0571,-2.90329,-5.64728,-2.70534,-2.93585,-1.32871,2.185253,1.55778,1.55778,1.929865643,2.134249183,1.834663422,81.81527471,127.185539,113.8115077,-38.2121669,7,12,10
MnZnZn,156.4514765,0.96503,1.22267,1.18917,-1.03011,0.54793,3.6246,0.0285,0.0138,0.0838,0.0333,-2.91165,-5.67535,-6.27927,-2.72354,-1.41243,2.16261,2.716567,2.16261,1.897046504,2.131559769,1.872246075,82.53930317,127.2106515,106.1197851,-37.20424294,7,12,12
NiCoCo,164.5248896,1.02695,1.0244,0.99322,-0.95749,0.78079,1.6528,2.6342,2.6073,0.50701,0.4116,-2.68912,-2.80886,-3.0273,-3.48377,-2.42918,3.900058,0.782046,0.782046,1.952042315,1.945835223,1.852109844,88.45558717,127.9797238,111.0811379,-35.22814594,10,9,9
NiCoCu,173.4515903,1.02021,1.0683,0.85681,-0.8794,0.78979,1.6475,2.697,0.4411,0.62095,0.4283,-2.5237,-2.9303,-2.4073,-3.41382,-2.2068,3.948128,0.625601,0.625601,1.93704961,1.873585751,1.929449757,90.59145565,131.3843799,115.3410804,-30.48813787,10,9,11
NiCoFe,188.1832719,1.02314,1.04477,1.05008,-0.96645,0.72223,1.6527,2.6477,3.6791,0.50067,0.3601,-2.70221,-2.82789,-3.84054,-3.6035,-2.29734,3.639739,0.854619,0.854619,1.972202818,1.94694678,1.854083602,88.49920391,129.5322126,116.5015182,-33.21992641,10,9,8
NiCoMn,176.6494495,0.96801,0.88636,1.10172,-0.8785,0.57791,-1.5498,1.7005,4.63736,0.05125,0.0658,-2.51201,-3.18676,-2.79969,-3.62009,-1.48688,1.01622,0.535428,0.535428,1.993613455,1.839249272,1.969154568,91.26590954,119.0921087,111.1104227,-40.80504418,10,9,7
NiCoNi,133.8327922,1.03039,1.07953,0.9568,-0.92812,0.79662,1.6408,2.6895,1.534,0.58583,0.4428,-2.54881,-2.86406,-2.47595,-3.70423,-2.10507,3.908459,0.786409,0.786409,1.954108553,1.895201199,1.85866031,91.33388319,140.0394693,125.075539,-13.07960933,10,9,10
NiCuCo,157.268007,1.02739,0.91462,0.96449,-0.89297,0.7708,1.633,0.5449,2.5881,0.55391,0.4087,-2.43466,-2.61231,-3.09819,-3.22302,-2.3058,3.958956,0.921763,0.921763,1.964038114,1.982828274,1.837473923,87.77227249,123.1862916,105.8810935,-39.17431439,10,11,9
NiCuCu,160.2794558,1.01354,0.92393,0.88502,-0.84232,0.77345,1.6373,0.5623,0.4904,0.64392,0.4214,-2.31142,-2.52906,-2.57433,-3.04247,-2.11226,3.873469,0.84231,0.84231,1.924949326,1.956829907,1.905431528,89.41397707,127.3834112,109.5262221,-34.92821452,10,11,11
NiCuFe,172.9632472,1.02943,0.93637,1.04197,-0.91782,0.70227,1.6425,-0.5702,3.6645,0.27104,0.3501,-2.58408,-3.02649,-3.82004,-3.42791,-2.26633,0.943002,0.937785,0.937785,1.994931174,1.960812916,1.832460085,87.30595804,124.7877268,109.787042,-38.60630124,10,11,8
NiCuMn,157.5935691,1.03418,0.92207,1.13941,-0.99266,0.77761,1.6514,-0.5471,4.6476,0.11109,0.4315,-2.50796,-2.60983,-2.6781,-3.09501,-2.32347,1.030173,1.271913,1.030173,1.947470928,1.931678189,1.916804238,88.95606226,133.9093043,116.7503386,-28.85560181,10,11,7
NiCuNi,140.4963118,1.01681,0.91898,1.0065,-0.92552,0.80657,1.6194,0.5506,1.6185,0.50718,0.4436,-2.25693,-2.51498,-2.59611,-3.03053,-2.13559,3.853575,1.252418,1.252418,1.953709004,1.956993293,1.83721816,87.06185892,124.1825567,115.4897883,-38.56948209,10,11,10
NiCuZn,158.3287091,1.02975,0.92587,1.19725,-1.025,0.77767,1.6242,0.5615,0.0027,0.32926,0.4194,-2.20856,-2.52308,-6.02794,-2.74586,-2.09947,3.651257,1.248878,1.248878,1.936607966,1.945130188,1.874048423,88.5833946,127.3412417,107.7601507,-35.73895862,10,11,12
NiFeCo,161.2797713,0.97729,1.11214,0.96657,-0.90325,0.58947,1.6329,3.8737,2.5823,0.52764,0.1587,-2.68239,-4.65418,-2.85027,-3.30115,-1.68483,3.490223,0.881528,0.881528,1.990961508,1.975204009,1.894075463,83.83527014,123.2847133,106.1346395,-41.08453777,10,8,9
NiFeCu,148.0682543,1.00761,1.27094,0.71051,-0.97696,0.86238,1.6365,4.0058,0.1464,0.50046,0.4727,-2.79068,-4.4953,-1.55203,-3.65593,-2.56241,3.362179,0.162199,0.162199,1.966626246,1.889089102,2.038741153,93.87105277,131.461345,130.9195898,15.16789776,10,8,11
NiFeFe,183.727798,0.98144,1.01466,1.0277,-0.89451,0.57481,1.636,3.7846,3.6873,0.52531,0.1455,-2.91122,-4.57903,-3.92514,-3.58341,-1.89906,3.270829,0.666226,0.666226,1.99431507,2.034577862,1.846648092,83.14232627,125.1024956,97.08540757,-39.07712785,10,8,8
NiFeMn,160.1245513,0.98402,1.13055,1.09574,-0.95089,0.55748,1.642,3.8948,4.68697,0.48858,0.1359,-2.80586,-4.80412,-2.80523,-3.339,-1.54446,3.182476,0.751411,0.751411,1.987544858,1.936787008,1.992170595,84.82456535,129.5122604,113.1581422,-35.96343088,10,8,7
NiFeNi,130.5955505,1.01859,1.26219,0.80902,-0.95023,0.73004,1.6523,4.0046,1.2945,0.52625,0.3295,-2.51934,-4.31202,-1.93305,-3.40361,-2.05228,3.60066,0.75176,0.75176,1.951866549,1.903371744,1.911337663,93.48533118,135.1781635,124.2244867,-18.70328738,10,8,10
NiFeZn,168.3371159,0.97857,1.11489,1.19382,-0.98601,0.54768,1.6282,3.8753,0.0129,0.37059,0.0887,-2.79509,-4.76015,-6.83757,-3.46206,-1.49822,2.911403,0.773402,0.773402,1.994301674,1.940285905,1.905228981,84.01543815,125.2940491,110.4163266,-39.9178946,10,8,12
NiMnCo,163.6112155,0.95579,1.04848,0.98309,-0.88711,0.57964,1.5955,3.7141,2.6013,0.33979,0.0615,-2.6564,-3.9137,-3.24678,-3.84094,-1.57286,1.392249,0.920531,0.920531,2.00150741,1.902691472,1.901927722,88.21311787,116.3497469,109.3324813,-44.39897292,10,7,9
NiMnCu,183.244706,0.99085,1.02692,0.65495,-0.83394,0.76915,1.6438,3.697,0.0486,0.20459,0.4638,-2.81731,-3.28114,-1.47164,-3.47215,-2.67386,1.301507,0.453276,0.453276,1.972570599,1.840324344,2.131594262,92.57513111,130.4570115,121.6552371,-27.30116958,10,7,11
NiMnFe,180.7032218,1.0068,1.05658,1.06695,-0.92152,0.68426,1.6702,4.65304,3.7222,0.5292,0.3545,-2.8836,-2.29236,-4.16358,-3.55145,-2.61797,2.896693,1.06196,1.06196,1.984105637,2.207526074,1.811217184,84.68220794,133.5468649,111.7813267,-32.0541525,10,7,8
NiMnMn,174.2287383,0.9868,1.08574,1.10385,-0.93874,0.56761,1.6404,3.7621,4.67152,0.25722,0.0805,-2.64951,-3.71511,-2.87275,-3.54534,-1.48884,1.438781,1.439402,1.438781,1.998285797,1.881920627,1.982982446,90.34000124,123.6317022,116.1225591,-37.17230745,10,7,7
NiMnNi,170.7683291,1.00302,1.0654,0.82811,-0.90806,0.70354,1.6506,3.7368,1.3331,0.318,0.2959,-2.37699,-2.961,-1.95524,-3.09269,-2.03894,2.487796,0.834406,0.834406,1.970790176,1.915864378,1.922612848,92.10585189,126.1027286,116.5304966,-33.58881026,10,7,10
NiMnZn,161.8521304,0.67309,1.00398,1.21496,-0.90996,0.58521,0.0981,3.6849,0.0122,0.0549,0.0364,-1.90605,-3.86902,-7.01523,-3.72884,-1.86386,1.305733,1.30821,1.305733,1.964230479,1.908676901,1.893677044,83.67523771,113.2310762,105.2928973,-48.16967575,10,7,12
NiNiCu,173.9819413,1.02554,1.048,0.891,-0.89337,0.78764,1.6529,1.657,0.4911,0.60493,0.4256,-2.31706,-2.45052,-2.56606,-3.18163,-2.03253,3.897807,0.840334,0.840334,1.920279118,1.912645022,1.900424916,93.72400725,131.7343514,118.889392,-26.17559658,10,10,11
